ORDER,GUIA
2T23005986,4125934164
2T23009926,4125937583
2T23014783,4125937653
2T23015541,4125937863
2T23016393,4125938456
2T23016705,4125939053
2T23016980,4125968906
2T23018416,4125939215
2T23019110,4125939370
2T23021896,4125939495
2T23021953,4125939565
2T23022140,4125939775
2T23022667,4125939904
2T23022788,4125940011
2T23022828,4125940092
2T23022984,4125940276
2T23023050,4125940383
2T23023096,4125940475
2T23023100,4125940534
2T23023366,4125940685
2T23023548,4125940766
2T23024666,4125940825
2T23025205,4125940976
2T23025230,4125967871
2T23025314,4125968825
2ZD8429018,4125941061
2ZD8432420,4125941190
2ZD8434751,4125968630
2ZD8445544,4125941293
2ZD8445573,4125941341
2ZD8445908,4125941595
2ZD8447846,4125941772
2ZD8448013,4125968534
2ZD8449365,4125941901
2ZD8449603,4125941982
2ZD8449672,4125942063
2ZD8450887,4125942203
2ZD8450963,4125942435
2ZD8451199,4125942306
2ZD8451774,4125934186
2ZD8451819,4125934315
2ZD8453739,4125934363
2ZD8454032,4125934584
2ZD8455038,4125934783
2ZD8455132,4125935030
2ZD8455161,4125935015
2ZD8455386,4125935284
2ZD8455422,4125935310
2ZD8455494,4125935391
2ZD8455503,4125935623
2ZD8455567,4125935494
2ZD8455661,4125935660
2ZD8455712,4125935726
2ZD8455752,4125935785
2ZD8457132,4125935870
2ZD8457346,4125935914
2ZD8457638,4125936032
2ZD8458498,4125936242
2ZD8459392,4125936356
2ZD8459972,4125936474
2ZD8460044,4125936710
2ZD8460161,4125937023
2ZD8461120,4125937093
2ZD8461803,4125968162
50H2986015,4125936905
50H2986140,4125934665
50H2986447,4125937174
50H2986662,4125937266
50H2986755,4125937373
50H2986833,4125937513
2T23022338,1098546304
2ZD8457389,1098546293
2ZD8459974,1098546315
2ZD8460702,1098546282
